user_id,username,email,age,city
1,emilys,emily.johnson@x.dummyjson.com,28,Phoenix
2,michaelw,michael.williams@x.dummyjson.com,35,Houston
3,sophiab,sophia.brown@x.dummyjson.com,42,Houston
4,jamesd,james.davis@x.dummyjson.com,45,Seattle
5,emmaj,emma.miller@x.dummyjson.com,30,Jacksonville
6,oliviaw,olivia.wilson@x.dummyjson.com,22,Fort Worth
7,alexanderj,alexander.jones@x.dummyjson.com,38,Indianapolis
8,avat,ava.taylor@x.dummyjson.com,27,Fort Worth
9,ethanm,ethan.martinez@x.dummyjson.com,33,San Antonio
10,isabellad,isabella.anderson@x.dummyjson.co,31,New York
11,liamg,liam.garcia@x.dummyjson.com,29,Denver
12,miar,mia.rodriguez@x.dummyjson.com,24,Jacksonville
13,noahh,noah.hernandez@x.dummyjson.com,40,New York
14,charlottem,charlotte.lopez@x.dummyjson.com,36,Columbus
15,williamg,william.gonzalez@x.dummyjson.com,32,San Jose
16,averyp,avery.perez@x.dummyjson.com,25,Columbus
17,evelyns,evelyn.sanchez@x.dummyjson.com,37,San Diego
18,logant,logan.torres@x.dummyjson.com,31,Columbus
19,abigailr,abigail.rivera@x.dummyjson.com,28,Chicago
20,jacksone,jackson.evans@x.dummyjson.com,34,New York
21,madisonc,madison.collins@x.dummyjson.com,26,Philadelphia
22,elijahs,elijah.stewart@x.dummyjson.com,33,Columbus
23,chloem,chloe.morales@x.dummyjson.com,39,Dallas
24,mateon,mateo.nguyen@x.dummyjson.com,30,Columbus
25,harpere,harper.kelly@x.dummyjson.com,27,Philadelphia
26,evelyng,evelyn.gonzalez@x.dummyjson.com,35,Dallas
27,danielc,daniel.cook@x.dummyjson.com,41,Los Angeles
28,lilyb,lily.lee@x.dummyjson.com,29,Phoenix
29,henryh,henry.hill@x.dummyjson.com,38,Indianapolis
30,addisonw,addison.wright@x.dummyjson.com,32,San Francisco
31,gabriela,gabriel.adams@x.dummyjson.com,36,Charlotte
32,natalieh,natalie.harris@x.dummyjson.com,28,San Jose
33,carterb,carter.baker@x.dummyjson.com,31,Denver
34,sofiam,sofia.mitchell@x.dummyjson.com,25,San Francisco
